CRICKET O -8.47389311868
- O -16.6281457467
LEICESTERSHIRE O -19.6922882138
TAKE O -22.7564306808
OVER O -25.8205731478
AT O -33.4894276807
TOP O -36.5535701477
AFTER O -46.5326726463
INNINGS O -49.5968151133
VICTORY O -52.6609575803
. O -56.3009225224

LONDON I-LOC -4.84581691021
1996-08-30 O -16.5419462244

West I-MISC -6.83464552906
Indian I-MISC -14.5253068933
all-rounder O -18.8846826923
Phil I-PER -30.3567875854
Simmons I-PER -31.7414676978
took O -40.2266301204
four O -51.1209324452
for O -56.4164802289
38 O -66.070160327
on O -70.9954698054
Friday O -78.3410246302
as O -84.4848190409
Leicestershire I-ORG -92.46263747
beat O -100.064343679
Somerset I-ORG -109.17432382
by O -116.016480394
an O -125.404961064
innings O -133.631524807
and O -138.242138275
39 O -148.147132802
runs O -156.630741647
in O -161.046208303
two O -167.735188237
days O -175.975174999
to O -180.393004326
take O -188.555029547
over O -195.496962582
at O -201.205829852
the O -204.865132982
head O -213.67151522
of O -218.022166844
the O -221.681469973
county O -231.827626557
championship O -240.521530811
. O -244.161495753

Their O -10.1886915468
stay O -22.4724949928
on O -27.3978044711
top O -35.9906126086
, O -39.6424653726
though O -49.547459899
, O -53.199312663
may O -61.9147231226
be O -68.195376716
short-lived O -71.259519183
as O -77.4033135938
title O -86.6515285838
rivals O -97.1161388981
Essex I-ORG -104.583131703
, O -109.106769353
Derbyshire I-ORG -112.346242658
and O -117.828641012
Surrey I-ORG -126.399624652
all O -134.963431129
closed O -146.796233169
in O -151.211699824
on O -156.137009303
victory O -164.432565917
while O -172.454829196
Kent I-ORG -180.550430661
made O -189.312307052
up O -199.17990574
for O -204.475453523
lost O -212.394532566
time O -219.968771123
in O -224.384237778
their O -231.081850859
rain-affected O -234.145993326
match O -241.902553439
against O -248.98277349
Nottinghamshire I-ORG -256.96059192
. O -261.472341747

After O -9.16704029924
bowling I-ORG -14.6087175575
Somerset I-ORG -23.0764835874
out O -30.7047280341
for O -39.0732156356
83 O -49.6713573425
on O -54.5966668209
the O -58.2559699505
opening O -67.366034602
morning O -76.1724168398
at O -81.8812841097
Grace I-PER -83.4997252835
Road I-PER -84.8844053959
, O -88.8081020667
Leicestershire I-ORG -99.1629151945
extended O -110.786992467
their O -120.557545365
first O -127.140591882
innings O -135.367155624
by O -141.337527313
94 O -146.260384007
runs O -154.743992852
before O -162.284098402
being O -170.373802962
bowled O -181.308416906
out O -188.179145494
for O -193.474693278
296 O -198.397549971
with O -204.208199936
England I-LOC -209.451526905
discard O -212.740539525
Andy I-PER -223.584595839
Caddick I-PER -224.969275951
taking O -233.873148709
three O -244.22632006
for O -249.521867844
83 O -260.120009551
. O -263.759974493

Trailing I-ORG -1.74999691956
by O -8.90654075049
213 O -16.9023372615
, O -20.5541900255
Somerset I-ORG -28.7833228829
got O -38.8318637942
a O -46.4444899031
solid O -49.5086323701
start O -58.1208585934
to O -62.53868792
their O -69.236301001
second O -76.4050744493
innings O -84.6316381918
before O -92.1717437419
Simmons O -97.5977793935
stepped O -107.944606672
in O -112.360073328
to O -116.777902654
bundle O -119.842045121
them O -127.761124164
out O -134.631852753
for O -139.927400537
174 O -144.85025723
. O -148.490222172

Essex I-ORG -6.85836370215
, O -11.696388608
however O -24.9154850091
, O -28.5673377731
look O -38.4723322995
certain O -48.7137990625
to O -53.1316283891
regain O -56.1957708561
their O -62.8933839371
top O -71.4861920746
spot O -81.1970305865
after O -87.5862243486
Nasser I-PER -89.2046655223
Hussain I-PER -97.1911578822
and O -102.073615257
Peter I-PER -110.565790968
Such I-PER -111.95047108
gave O -120.741015152
them O -131.772518599
a O -136.31220489
firm O -145.72076253
grip O -148.784904997
on O -153.710214475
their O -160.407827556
match O -168.164387669
against O -175.24460772
Yorkshire I-ORG -182.854701369
at O -189.435353524
Headingley I-LOC -200.237424885
. O -204.10225998

Hussain I-PER -7.72720411092
, O -13.4476990745
considered O -26.7062800613
surplus O -36.8524366446
to O -41.2702659712
England I-LOC -46.5135929408
's O -51.971964791
one-day O -64.707239141
requirements O -67.771381608
, O -71.423234372
struck O -80.7091896901
158 O -85.6320463833
, O -89.2838991473
his O -95.5400924431
first O -102.12313896
championship O -110.817043214
century O -121.281653528
of O -125.632305152
the O -129.291608282
season O -137.441210983
, O -141.093063747
as O -147.236858158
Essex I-ORG -154.703850963
reached O -164.861591167
372 O -172.857387678
and O -177.468001146
took O -185.681319662
a O -190.221005953
first O -196.804052469
innings O -205.030616212
lead O -213.257179954
of O -217.607831578
82 O -227.586934077
. O -231.226899019

By O -10.7764782117
the O -17.1712652048
close O -25.6044431967
Yorkshire I-ORG -33.2145368456
had O -40.3006526814
turned O -52.8266019019
that O -58.7281669566
into O -66.1970449974
a O -70.7367312884
37-run O -75.6595879816
advantage O -85.8057445649
but O -92.3862170773
off-spinner O -95.4503595443
Such O -100.876395196
had O -107.090726146
scuttled O -110.154868613
their O -116.852481694
hopes O -127.450623401
, O -131.102476165
taking O -139.734505016
four O -147.516382937
for O -152.811930721
24 O -161.212847851
in O -165.628314506
48 O -174.771168981
balls O -185.369310688
and O -189.979924156
leaving O -199.690762668
them O -207.609841711
hanging O -210.673984178
on O -215.599293656
119 O -220.522150349
for O -225.817698133
five O -233.643251118
and O -238.253864586
praying O -241.318007053
for O -246.613554837
rain O -256.113084255
. O -259.753049197

At O -7.95509932527
the O -14.3498863184
Oval I-LOC -21.4690558745
, O -25.3457787911
Surrey I-ORG -34.9693282668
captain O -45.0178691781
